,dataset,metric,1vsall_affine_relu_partial
0,clean,loss,0.15304867923259735
1,clean,acc,0.8833264708518982
2,clean,ece,0.059818267822265625
3,clean,nll,0.4654013514518738
4,clean,brier,0.18325775861740112
5,gaussian_noise_1,loss,0.15304867923259735
6,gaussian_noise_1,acc,0.7321134805679321
7,gaussian_noise_1,ece,0.043235257267951965
8,gaussian_noise_1,nll,0.9871435761451721
9,gaussian_noise_1,brier,0.38394251465797424
10,gaussian_noise_2,loss,0.15304867923259735
11,gaussian_noise_2,acc,0.5745271444320679
12,gaussian_noise_2,ece,0.08526486158370972
13,gaussian_noise_2,nll,1.600656509399414
14,gaussian_noise_2,brier,0.5973615050315857
15,gaussian_noise_3,loss,0.15304867923259735
16,gaussian_noise_3,acc,0.4172491729259491
17,gaussian_noise_3,ece,0.21891659498214722
18,gaussian_noise_3,nll,2.297328233718872
19,gaussian_noise_3,brier,0.8174930810928345
20,gaussian_noise_4,loss,0.15304867923259735
21,gaussian_noise_4,acc,0.3549547791481018
22,gaussian_noise_4,ece,0.2831007242202759
23,gaussian_noise_4,nll,2.6487717628479004
24,gaussian_noise_4,brier,0.9149152636528015
25,gaussian_noise_5,loss,0.15304867923259735
26,gaussian_noise_5,acc,0.29913651943206787
27,gaussian_noise_5,ece,0.3412529230117798
28,gaussian_noise_5,nll,2.946847438812256
29,gaussian_noise_5,brier,0.9943935871124268
30,shot_noise_1,loss,0.15304867923259735
31,shot_noise_1,acc,0.7954358458518982
32,shot_noise_1,ece,0.04191618412733078
33,shot_noise_1,nll,0.7638503909111023
34,shot_noise_1,brier,0.3005701005458832
35,shot_noise_2,loss,0.15304867923259735
36,shot_noise_2,acc,0.7126850485801697
37,shot_noise_2,ece,0.027824468910694122
38,shot_noise_2,nll,1.0622570514678955
39,shot_noise_2,brier,0.4091145098209381
40,shot_noise_3,loss,0.15304867923259735
41,shot_noise_3,acc,0.5370065569877625
42,shot_noise_3,ece,0.11554437130689621
43,shot_noise_3,nll,1.8182379007339478
44,shot_noise_3,brier,0.6587769389152527
45,shot_noise_4,loss,0.15304867923259735
46,shot_noise_4,acc,0.46546053886413574
47,shot_noise_4,ece,0.1762363165616989
48,shot_noise_4,nll,2.1128299236297607
49,shot_noise_4,brier,0.7543572783470154
50,shot_noise_5,loss,0.15304867923259735
51,shot_noise_5,acc,0.35629111528396606
52,shot_noise_5,ece,0.2755843997001648
53,shot_noise_5,nll,2.6083977222442627
54,shot_noise_5,brier,0.9070931673049927
55,impulse_noise_1,loss,0.15304867923259735
56,impulse_noise_1,acc,0.7926603555679321
57,impulse_noise_1,ece,0.0467953085899353
58,impulse_noise_1,nll,0.7637743949890137
59,impulse_noise_1,brier,0.30310505628585815
60,impulse_noise_2,loss,0.15304867923259735
61,impulse_noise_2,acc,0.6848273277282715
62,impulse_noise_2,ece,0.03187946230173111
63,impulse_noise_2,nll,1.110316276550293
64,impulse_noise_2,brier,0.44119730591773987
65,impulse_noise_3,loss,0.15304867923259735
66,impulse_noise_3,acc,0.5780221819877625
67,impulse_noise_3,ece,0.047902911901474
