,dataset,metric,1vsall_dm_relu_normalized
0,clean,loss,1.6761621236801147
1,clean,logits_loss,1.5778577327728271
6,clean,acc,0.8644120097160339
7,clean,ece,0.0870867446064949
8,clean,nll,0.478044867515564
9,clean,brier,0.2654403746128082
10,gaussian_noise_1,loss,2.2391610145568848
11,gaussian_noise_1,logits_loss,2.1408562660217285
16,gaussian_noise_1,acc,0.6629317402839661
17,gaussian_noise_1,ece,0.07191576808691025
18,gaussian_noise_1,nll,0.972158432006836
19,gaussian_noise_1,brier,0.5277518033981323
20,gaussian_noise_2,loss,2.816218376159668
21,gaussian_noise_2,logits_loss,2.717913627624512
26,gaussian_noise_2,acc,0.4602179229259491
27,gaussian_noise_2,ece,0.2443220168352127
28,gaussian_noise_2,nll,1.4652338027954102
29,gaussian_noise_2,brier,0.8102964162826538
30,gaussian_noise_3,loss,3.2619125843048096
31,gaussian_noise_3,logits_loss,3.1636078357696533
36,gaussian_noise_3,acc,0.3108552694320679
37,gaussian_noise_3,ece,0.40264761447906494
38,gaussian_noise_3,nll,1.8365839719772337
39,gaussian_noise_3,brier,1.0403070449829102
40,gaussian_noise_4,loss,3.4185593128204346
41,gaussian_noise_4,logits_loss,3.3202548027038574
46,gaussian_noise_4,acc,0.2588404715061188
47,gaussian_noise_4,ece,0.4678730964660645
48,gaussian_noise_4,nll,1.9653671979904173
49,gaussian_noise_4,brier,1.1224644184112549
50,gaussian_noise_5,loss,3.537179708480835
51,gaussian_noise_5,logits_loss,3.4388749599456787
56,gaussian_noise_5,acc,0.21936677396297452
57,gaussian_noise_5,ece,0.5158188343048096
58,gaussian_noise_5,nll,2.06104588508606
59,gaussian_noise_5,brier,1.187214732170105
60,shot_noise_1,loss,1.9950226545333865
61,shot_noise_1,logits_loss,1.8967182636260984
66,shot_noise_1,acc,0.7495887875556946
67,shot_noise_1,ece,0.04468964785337448
68,shot_noise_1,nll,0.7582436800003052
69,shot_noise_1,brier,0.413681298494339
70,shot_noise_2,loss,2.2955152988433842
71,shot_noise_2,logits_loss,2.1972105503082275
76,shot_noise_2,acc,0.6434004902839661
77,shot_noise_2,ece,0.0895930752158165
78,shot_noise_2,nll,1.0195187330245972
79,shot_noise_2,brier,0.5558799505233765
80,shot_noise_3,loss,2.92767333984375
81,shot_noise_3,logits_loss,2.829368352890014
86,shot_noise_3,acc,0.4224917888641357
87,shot_noise_3,ece,0.28512418270111084
88,shot_noise_3,nll,1.5591223239898682
89,shot_noise_3,brier,0.8666012287139893
90,shot_noise_4,loss,3.11179780960083
91,shot_noise_4,logits_loss,3.013493061065674
96,shot_noise_4,acc,0.3595806062221527
97,shot_noise_4,ece,0.34885331988334656
98,shot_noise_4,nll,1.711578369140625
99,shot_noise_4,brier,0.9627705812454224
100,shot_noise_5,loss,3.384558916091919
101,shot_noise_5,logits_loss,3.2862541675567627
106,shot_noise_5,acc,0.2681949138641357
107,shot_noise_5,ece,0.4492753744125366
108,shot_noise_5,nll,1.9391080141067505
109,shot_noise_5,brier,1.1021871566772459
110,impulse_noise_1,loss,1.9427753686904907
111,impulse_noise_1,logits_loss,1.8444709777832031
116,impulse_noise_1,acc,0.7666529417037964
117,impulse_noise_1,ece,0.05753447115421295
118,impulse_noise_1,nll,0.7114116549491882
119,impulse_noise_1,brier,0.3911522924900055
120,impulse_noise_2,loss,2.2759840488433842
121,impulse_noise_2,logits_loss,2.1776793003082275
126,impulse_noise_2,acc,0.6394942402839661
127,impulse_noise_2,ece,0.07130628824234009
128,impulse_noise_2,nll,1.0025554895400999
129,impulse_noise_2,brier,0.5468281507492065
130,impulse_noise_3,loss,2.6276772022247314
131,impulse_noise_3,logits_loss,2.529372453689575
136,impulse_noise_3,acc,0.5111019611358643
137,impulse_noise_3,ece,0.16600170731544495
138,impulse_noise_3,nll,1.3076745271682741
139,impulse_noise_3,brier,0.7129660844802856
140,impulse_noise_4,loss,3.260473251342773
141,impulse_noise_4,logits_loss,3.1621685028076167
146,impulse_noise_4,acc,0.2932771444320679
147,impulse_noise_4,ece,0.35670870542526245
148,impulse_noise_4,nll,1.8524848222732544
149,impulse_noise_4,brier,1.0082498788833618
150,impulse_noise_5,loss,3.579686164855957
151,impulse_noise_5,logits_loss,3.4813814163208012
156,impulse_noise_5,acc,0.18883635103702545
157,impulse_noise_5,ece,0.4890982210636139
158,impulse_noise_5,nll,2.1167762279510502
159,impulse_noise_5,brier,1.1684194803237915
160,defocus_blur_1,loss,1.662322759628296
161,defocus_blur_1,logits_loss,1.5640183687210083
166,defocus_blur_1,acc,0.8682154417037964
167,defocus_blur_1,ece,0.0865696370601654
168,defocus_blur_1,nll,0.4652510285377502
169,defocus_blur_1,brier,0.25970742106437683
170,defocus_blur_2,loss,1.6510155200958252
171,defocus_blur_2,logits_loss,1.5527111291885376
176,defocus_blur_2,acc,0.8698601722717285
177,defocus_blur_2,ece,0.08369099348783493
178,defocus_blur_2,nll,0.4539062082767487
179,defocus_blur_2,brier,0.25591158866882324
180,defocus_blur_3,loss,1.665985107421875
181,defocus_blur_3,logits_loss,1.567680597305298
186,defocus_blur_3,acc,0.8655427694320679
187,defocus_blur_3,ece,0.0806293934583664
188,defocus_blur_3,nll,0.4650694727897644
189,defocus_blur_3,brier,0.26467597484588623
190,defocus_blur_4,loss,1.736974000930786
191,defocus_blur_4,logits_loss,1.638669729232788
196,defocus_blur_4,acc,0.8397409319877625
